cid,smiles
79368,CC1=CC(=O)OC(O1)(C)C
79390,CC1=C(CCCO1)C(=O)O
80219,CN(C)C1=CC(=O)CCC1
80995,C=CC(=O)OCCN1CC1
81043,CC(=C)C(=O)NC(C)(C)C
81081,CCCOC(=O)C(=C)C#N
81466,CC(=C)C(=O)OCCOC
81757,C=CCOC(=O)C(=C)C#N
81791,COC(=O)CC(=C)C(=O)O
82062,C(=O)(C(=O)C(=O)O)C(=O)O
82519,CC(C)(C#N)N=NC(=O)N
82744,CC(C)OC(=O)C(=C)C#N
83084,CC(C)COC(=O)C(=O)C
83528,CC1=CC=CC(C1=O)(C)C
83559,CCOC(=N)C(=N)OCC
83652,CC(=O)C(=O)C1=CC=CS1
84301,CC(C)CC(=CC(=O)C)O
84325,C(=O)C(=O)C(=O)C(=O)C=O
84699,CC(=CCOC(=O)C)C=O
85553,CCOC(=O)C(=O)N(C)C
85617,C=CC(=O)OC1CCCC1
85999,CCCC=C1CCCC1=O
86186,CCC(CO)OC(=O)C=C
86592,CC=CC=CC=CC(=O)C
86704,CCCC=C1C=CC(=O)O1
87647,COC(=O)C1=CCCCC1
88332,CC1=CCCC(C1=O)(C)C
88406,CCOC(=O)C(=O)C(C)C
88600,CC(=O)CC(=O)C(=O)OC
89033,CCCN1C(=O)C=CC1=O
89264,CC1CC=C(C(=O)C1C)C
89308,C1=C2C(N=CN=C2N=N1)N
90558,C=CC(=O)OCCC(=O)O
91211,C1=CSC(=C1)C=CC(=O)N
91251,CC=C(COC(=O)C)C=O
91489,C(C(=O)N)NC(=O)C=[N+]=[N-]
91606,C1(C(=O)C(=O)NC(=N1)N)N
92080,CC(C)C=CC(=O)C(C)C
92083,CCC=CC=CC=CC=O
92230,C=CC(=O)NC(C(=O)O)O
92255,CC(C)CCC=C(C)C=C
92780,CC(C)C1CCC(=O)C=C1
92868,C1=CSC(=C1)C=CC(=O)O
93111,CCC1=C(C(=O)C(O1)C)O
94356,C1CC2=C(CCC=N2)C=C1
94796,CC(=NNC(=O)N)C(=O)O
95155,C=C(CCC(=O)O)C(=O)O
95181,CC(=CC(=O)C)OC(=O)C
95509,CC=CC=CC=CC(=O)O
95586,C1=CSC(=C1)C=C[N+](=O)[O-]
