cid,smiles
29022,CCCC=CCCC(=O)O
29116,CCCCC=CC(C)(C)O
29838,CCCCC(=O)C=C(C)C
29853,C=C(C(C(C(=C)O)O)O)O
29854,CC1(CO1)COC(=O)C=C
29995,CCC1=C(C(=O)NC1=O)C
31045,CC(=O)OC(C=C)N1CC1
31253,CC(=CCCC(=C)C=C)C
31529,CC(C)(C)C=CC(C)(C)C
32207,CCCCCC(C)(C=C)O
32478,CC1C(C1=C(C)C)C(C)C
32899,CCCCCCCC=CC
33115,CC1CC=C(C(=C1C)C)C
33151,C=CC1CCC(OC1)C=C
33773,CC=CC=CCOCCO
33931,CCC1C(=O)C(=C(O1)C)O
33936,CC1=C(C(=CC=C1)C=C)C
33937,CC1=C(C=C(C=C1)C=C)C
34023,CC(CO)OC(=O)C(=C)C
34134,CCC=CCCC=CCO
34442,CC1=C2C=CCC2=CC=C1
34671,CC=C(C)C=CCC(=C)C
34672,CCC(=CC=CC(=C)C)C
35753,CCN1C(=O)C=C(C1=O)C
36224,CCC1=CN=CC(=N1)C=C
36308,CC(C)CCC=CC(=O)C
36573,CC1=CC(=O)NS(=O)(=O)O1
36619,C1CC2C=CC=CC=C2C1
36654,CCCCC1=CCC(=O)O1
37209,C1CC(=NC1)C=CC(=O)N
38622,CC(CNC(=O)C(=C)C)O
39386,CC#CC=CC=CC(C)O
39389,C=CC1=CC=C(C=C1)C=O
39390,C=CC1=CC(=CC=C1)C=O
39391,C=CC1=CC=CC=C1C=O
39420,CCC#CC=CC=CCO
39540,CC1=CC2CCC(C2)C1=C
39541,C=C1CC2CCC(C2)C1=C
39831,CCOC(=O)C=CN1CC1
40588,CCC(CC=C)(CC=C)O
40707,CC(=C1C2C1CCCC2)C
41092,CC1C(C(=O)C(=C1C)C)C
41167,C=CCCN(CC=C)N=O
41331,CCOC(=O)C=CC(=O)O
41380,CC(=O)C=CCCCC=C
41439,C=CCN(CCO)CCO
41543,CCOCC=CC(C)(C)C
41676,CCC(C)C(C)C(=CC)O
42011,CCC=CCC=CCCO
42853,C1CNC(=C[N+](=O)[O-])SC1
43186,C1=C[C@@H]([C@H](C(=C1)C=O)N)O
43243,CC1=C(CC=CC1)C(C)C
43800,CCC=CC(CC)(CC)N
45075,CN(C)CC(=C)OCC=C
45262,CCOCC=C(C#N)C#N
49662,CC(CC1CCC=C1)NC
51371,CCOC=C(C#N)C(=O)O
54161,C/1CC2C(C2N)CC/C=C1
55145,C=CSCCC(C(=O)O)N
55569,CC1CC=CC(C1)C(=C)C
58094,CCNC1C=CC=CC=C1
61016,CC(CCC=C(C)C)C=O
61135,CC=CC(=O)OCC(C)C
61153,COC1=CC=CC=C1C=C
61199,CCC1C(=C(C(=O)O1)O)C
61228,CC(=CC1=CC=CO1)C=O
61312,CCC=CCC(=O)OCC
61325,CC1C(=O)C(=C(O1)C)OC
61409,CC=C(C)C(=O)OCC=C
61449,CCCCC=C(CC)C=O
61896,CCCCCCC=CCO
61950,CCC=CCCCCCO
62024,CCOC(=O)C(C)CC=C
62166,CCOC(=O)C(C)C=C=C
62218,CCCCCC(=C)C(=O)C
62385,CC1=CC=C(C=C1)C(=C)C
62568,CCCC=C(CC)C(=O)O
65317,C1=C[C@@H]([C@H]([C@@H]([C@H]1O)O)O)O
65427,CCC1CC(=C(C1=O)O)C
66041,C=CC1=CC=C(C=C1)C=C
66310,CCCCCC=CCCO
66666,C=CC1=CC=CC=C1C=C
66838,C=CCCC(=O)OCC=C
66841,CC(C)C1=CCC(=C)CC1
66891,CCCC(OC=C)OC=C
66979,CN(C)CC=CCN(C)C
68121,C1C=CCC2=C1CC=CC2
68140,CC(=C)C1CCC(=C)CC1
68148,C=CCC1=CC=C(C=C1)O
68241,CC1=CC(=O)C=C(C1=O)C
68525,C=CCNC1=CC=CC=C1
69155,C1C=CCC2=CC=CC=C21
69212,CC1=CC(=O)C(=O)C=C1O
69213,C1=C(C(=O)C=C(C1=O)O)O
69641,CC(=C(C)CCC(=O)C)C
69848,CC=C(C)C1=CC=CC=C1
69953,CC(C)C(=O)OCC(=C)C
70124,C=C1C(CCC1=O)C(=O)O
70218,CN(C)CCNC(=O)C=C
70467,CC(=CCC(C)(C)C=O)C
70491,C=CC1CCCCC1C=C
70502,CC1(CC=CC(N1)(C)C)C
70701,CC(=O)CC(=O)OCC=C
70710,CCCSC=CSCCC
70759,CC1=CC(=CC=C1)C(=C)C
70764,C1CCC=CCCC=CC1
70954,CC1=CC[C@@H](CC1)C(C)C
73165,CC1=CC(=CS(=O)(=O)O1)C
73823,C=CCN1C(=O)CSC1=S
73850,CCCCCC=CC(=O)O
74019,CC(=O)OC1=CCCCC1
74174,CCC=C(C)C(=O)OCC
74364,CC=C(C)CCOC(=O)C
74458,C=CCOC1=CC=CC=C1
74537,C=CCNC(=O)NCC=C
74606,CCC=C(C)COC(=O)C
74667,C1=CC=C(C=C1)C=CC#N
74871,CCC(=C)C1=CC=CC=C1
74910,CCC(=CC(C)(C)CC)C
75119,C=CC(=O)C1CCCCC1
75227,C=CN1CCCCCC1=O
75552,C=CCSSSSCC=C
75581,C=C1C=CC2=CC=CC=C12
75588,C=CC(=O)OCCCCO
75748,C=CCC(C(=O)O)C(=O)O
76146,COC1=CC(=O)C=CC1=O
76345,CCCCCOC(=O)C=C
76451,CCCCCC(=O)OC=C
76732,CC=CC(=O)OC(C)(C)C
76851,CC1=CC=C(C=C1)CC=C
76868,C1=CC(=O)N(C1=O)C(=O)N
76906,COC(=O)C(=C)C(=O)OC
76967,C=CC1=CC=C(C=C1)C#N
77091,CCC1=C(C(=O)OC1=O)C
77370,CC1=CCCC=C(CC1)C
77371,CC1=CCCC(=CCC1)C
77447,CC(C)N(CC=C)C(=O)C
77501,C=COCCCCOC=C
77667,CC1C(=C(C(=C1C)C)C)C
77920,CC(C)CCOC(=O)C=C
78249,CC1=C[C@H]2[C@H](C2(C)C)CC1
78453,CC1=CC(=CC(C1)(C)C)C
78494,CCC1=CC(=O)C=CC1=O
78790,C[C@@H]1CC[C@H](C=C1)C(=C)C
78944,C=CCC1CCCCC1=O
78948,CCNCC=CCNCC
78949,C1C2CC(C1C=C2)C(=O)O
79016,CC1=CC(CC(C1)(C)C)O
79026,C1CCC2=C(C1)CCCC2
79044,CC1=CC2C(C2(C)C)CC1
79100,CC=CCN1CCCCC1
79145,C=CCC1(CCCCC1)O
79180,C=CCSC1=CC=CC=C1
79216,CCOC1=CC(=O)CCC1
79368,CC1=CC(=O)OC(O1)(C)C
79390,CC1=C(CCCO1)C(=O)O
79447,CC(C)C1OCC=CCO1
79450,CCOC(=C(C#N)C#N)C
79741,C1CCC(=C(C#N)C#N)C1
79906,C=CCOC1=CC=CC=N1
79925,C=CCN(CCS)CC=C
80106,C=C(CO)C1=CC=CC=C1
80183,CC(=CCCC(C)(C)O)C
80219,CN(C)C1=CC(=O)CCC1
80606,CCCCC(=O)OCC=C
80995,C=CC(=O)OCCN1CC1
81043,CC(=C)C(=O)NC(C)(C)C
81081,CCCOC(=O)C(=C)C#N
81115,C=CCNC1CCCCC1
81466,CC(=C)C(=O)OCCOC
81570,C1CCN(C1)C2=CCCC2
81698,CC(=O)OC(=C)OC(=O)C
81757,C=CCOC(=O)C(=C)C#N
81791,COC(=O)CC(=C)C(=O)O
81840,CC1=C2CC=CC2=CC=C1
81886,CC1=CC=CC=C1C(=C)C
81997,CC1=CC2=C(CC=C2)C=C1
82227,CC1=CC[C@@H]2C[C@H]1C2(C)C
82658,C[C@@H]1CC=CCC1C(=O)O
82744,CC(C)OC(=O)C(=C)C#N
83277,CC1(COC(OC1)C=C)C
83528,CC1=CC=CC(C1=O)(C)C
83742,C=CN1CCN(C1=O)C=C
84121,C=CC1=CC(=NC=C1)C=C
84301,CC(C)CC(=CC(=O)C)O
84699,CC(=CCOC(=O)C)C=O
84764,C=CCOC(=O)OCC=C
84777,C=CCOCCOCCO
85617,C=CC(=O)OC1CCCC1
85729,CCOC(=O)C(C)C(=C)C
85999,CCCC=C1CCCC1=O
86046,CC1(CCC=CC1)C(=O)O
86186,CCC(CO)OC(=O)C=C
86547,CC(C=CN(C)C)N(C)C
86592,CC=CC=CC=CC(=O)C
86699,C1CCC(=CC1)CC(=O)O
86704,CCCC=C1C=CC(=O)O1
86868,C1CC2C(C1)C3CC2C=C3
87582,CCCC=CC(OC)OC
87647,COC(=O)C1=CCCCC1
87849,C=CCN(CC=C)C(=S)S
88039,CCCCCC=CCCC
88332,CC1=CCCC(C1=O)(C)C
88420,CC1=CC2=C(C=CC2)C=C1
88544,C=CS(=O)C1=CC=CC=C1
89033,CCCN1C(=O)C=CC1=O
89261,COC(=O)CC1CCC=C1
89264,CC1CC=C(C(=O)C1C)C
89308,C1=C2C(N=CN=C2N=N1)N
89465,C1=COC(C(C1O)O)CO
89560,CCCCCCC(C=C)O
89877,CCOCC(=O)OCC=C
89913,CC1C=CN(C(=O)N1C)C
90524,C1CSC(=C(S1)C#N)C#N
90558,C=CC(=O)OCCC(=O)O
90772,CC1(C=CC(O1)OC)OC
90779,CC(=CCCC(=NO)C)C
90847,C1CC(CC=C1)CCC=O
91135,CCC(=CCCC(=O)C)C
91211,C1=CSC(=C1)C=CC(=O)N
91251,CC=C(COC(=O)C)C=O
91945,CCC=CCCC(C)(C)O
91998,CC1=NC=C(C=C1)C(=C)C
92080,CC(C)C=CC(=O)C(C)C
92083,CCC=CC=CC=CC=O
92221,CC1([C@@H]2CC[C@@H](C2)C1=C)C
92230,C=CC(=O)NC(C(=O)O)O
92255,CC(C)CCC=C(C)C=C
92780,CC(C)C1CCC(=O)C=C1
92868,C1=CSC(=C1)C=CC(=O)O
92986,C=CC(C1=CC=CC=C1)O
93019,CC1=CCC(CC1)C(=O)C
93029,CC=CC1=CC=CC=C1O
93111,CCC1=C(C(=O)C(O1)C)O
93331,C=CC1CCCCCCC1
93350,C1CC(CC=C1)C(CO)O
93375,CC1C=C(CCC1C=O)C
94036,C=C(CO)C1=CC=CC=N1
94278,C=CC1(CCC=CC1)OO
94356,C1CC2=C(CCC=N2)C=C1
95155,C=C(CCC(=O)O)C(=O)O
95181,CC(=CC(=O)C)OC(=O)C
95509,CC=CC=CC=CC(=O)O
95586,C1=CSC(=C1)C=C[N+](=O)[O-]
95605,C1CC2CC1C3C2C=CC3
95644,CC1CC=C(CC1C=O)C
95810,CC(C)(C(=O)N)SCC=C
96112,C1C2CC(C1C=C2)C(=O)N
96206,C1CCC(=CC(=O)O)CC1
96433,CC(=C1C(C(=O)O1)(C)C)C
96494,CC(=C)C1=CC=CC=C1N
96926,COC(=O)C1CCC=CC1
97401,CC(CC(C(=O)O)N)C=C
97732,CCC(C)OC(=O)C(=C)C
97854,CC1CC(CC(=C1)C)C=O
98066,CCOC=C(C#N)C(=O)N
98088,CC1(CC2CC1C=C2)CO
98144,CC1=COC(CC1)(C)CO
98145,CCC(CC)C=CC(=O)C
98161,CCOC1CC(C=CO1)C
98249,CCNC(=O)C=CC(=O)O
98280,C=CCSCC(C(=O)O)N
98644,CC(=O)NC(=C)C(=O)OC
98723,C=CC(=O)N1CCOCC1
98887,CC(C)(C)COC(=O)C=C
99229,CSC(=C(C#N)C#N)SC
99279,C=C(C(=O)O)NC(=O)CN
99305,C=CC1=CNC(=O)NC1=O
99451,C1=CSC(=C2SC=CS2)S1
99741,C1C(C=CS1(=O)=O)SC#N
99778,CCOC(C=CC)OCC
99884,CC(=CC(=O)O)CC(=O)O
99917,CC1=CC(=O)C2C(C1=O)O2
101020,CCC(CC)(CC=C)C#N
101093,CC=CC(=O)OCCOC
101717,CC1(CC2CC1CC2=C)C
101720,CC(=C)CCC=C(C)C=C
101913,CCC(=CCOC(=O)C)C
102020,C1=CSC=C1C=CC(=O)O
102085,CCCC(=O)C1=CC=CC1
102255,CC(=CN1CCOCC1)C
102443,CC1CCC(=C(C)C)C=C1
102481,CC(CC=C(C)C)C(=O)C
102596,CCCCCC1=CC=CC1
102600,CC(C)(C)CC1=CC=CC1
102603,CCC1=C(CC=C1)C(=O)C
102625,CC1=CCCC(C1)C(=C)C
102683,CC1=CCC(CC1)(C)C=C
102811,CCC(COC(=O)C=C)O
102897,C=CC1CC2CC1C3C2O3
102941,CC(=C)C(=O)OCC1CS1
103080,CC1=CC=CC=C1C2C=C2
103492,CCCC(C)OC(=O)C=C
103675,COC=CC=C(C#N)C#N
103807,CC(=O)OC=CC(=O)OC
103874,CC(CCC=C(C)C)C#N
104408,CCCOC(=O)C(=CC)C
104661,CCCCC=CCCC#C
104893,CCCC(=CCC)C(=O)O
104896,CCCC(CC=C)C(=O)O
105050,CC1=CCC2[C@H](C1)C2(C)C
105392,CCC=CCCC=CC#N
105987,CC1=CC2CC(C1C2)C=C
106146,CCOC1=C(CCC1=O)C
106231,C(CN)CNCC=CCN
106460,CCC=CCCCCC#N
106697,CC1CC(CC(=C1)C)C#N
106698,CC1C=C(CCC1C#N)C
106741,CCC(C)(C)C(=C(C)C)C
106742,CC1CC(CC(=C1)C)CO
106743,CC1C=C(CCC1CO)C
106870,CC(CC(=C)C)OC(=O)C
107104,CC1CCC=C(C1C=O)C
107349,CC1=CC2CC(C1)C2(C)C
107366,CC(=O)C1CC2CC1C=C2
107399,CCOC(=O)C=C(C)OC
107518,C(/C=C(\CO)/S(=O)(=O)O)O
107550,C(C=CCC(=O)O)C(=O)O
107588,COC=CC1=CC=CC=C1
108716,CCC=CCC(OC)OC
108919,CCC(CC)C=CC(=O)O
109548,CCC=CCCOCC=O
110389,C=CC=CC=CC=CC=C
110446,CCC=CCCC=CC=C
110858,CC1C2CC(C1C=O)C=C2
110989,CC1C=CCC2C1C=CC2
111009,C=CCC1CC(=O)OC1=O
111609,CC(C)CC=CC(=O)OC
112001,C=CC(=O)OCC(CO)O
112080,C=CCCCC=CCC=C
112172,CC1CC(=C(C1=O)OC)C
112221,CCCC=CCC=CCC
112492,CCCCC=CC=CCO
112531,CC(CC=C(C)C)C(C)O
112657,CCCC=CC=CCCO
112718,C=CCN=C(N)SCCN
114026,CC1=CC(=NC(C1)(C)C)C
114129,CC(C)(CC(=O)OC)C=C
114436,CCC(C)(C1=CC=CC1)O
114438,CC(C)OCC1=CC=CC1
114480,C1=C(C2C(O1)C(=CO2)O)O
114494,CC(C1CC2CC1C=C2)O
114507,CC1CC(C=CC1=O)(C)C
114586,C=C1[C@H](CCC1=O)C(=O)O
114633,C1=CO[C@@H](C([C@@H]1O)O)CO
114646,C=CCCC=CCCC=C
114914,C=C1[C@@H](CCC1=O)C(=O)O
115627,CCC=COCC(CO)O
115784,CC(=C)COCC(CO)O
116743,CC(CC=C(C)C)CC#N
117296,C=CCN1CCCC1CN
117745,CN1CCCC1=C[N+](=O)[O-]
117910,CCCC=CCCC(=O)C
118262,CCCC(C=C)OC(=O)C
118658,CC(C)SC(=O)C=C(C)C
119724,CC=CC(=O)OCC(=C)C
119795,COCC(COCC=C)O
119838,CC1=C(C(=O)C(CO1)O)O
119859,CCCCCCC=CC#N
120191,C1C=CC2=C3CC(=C21)C=C3
121015,CCOC(=O)C=CN(C)C
121598,CCOC1=CCCCC1=O
121779,CCCCC1C=CC(=O)O1
122964,CC=CCC=CC(=O)OC
122966,CCCCC=COC(=O)C
123088,CCC=CC1=CC=CC=C1
123568,CC(CCOC(=O)C)C=C
124245,C1C(C(=C(C1=O)O)O)CO
124480,CC(CN(CC=C)N=O)O
124481,CC(=O)CN(CC=C)N=O
125604,C1CNCC=C1S(=O)(=O)O
125774,C=CSCC[C@@H](C(=O)O)N
125814,COC1=CC(=O)C(=O)C=C1
126218,COC=C1C(=O)NC(=O)N1
126572,CN1C=CCC(=C1)C(=O)O
126720,CN1CCC(=CC1)C2CC2
128159,CC=C(CC(=O)O)C(=O)O
128335,C1=CC(=O)C(C1=O)(CO)O
130463,CSC=CC(=O)NCCO
133367,C1CC2CC1CC2=CCN
133922,C1=C(C(=CC=O)OC1=O)N
134779,COC12C=CC1C=CC2=O
135310,CCCC(C=CC)C(=O)O
136068,C1C=COC2=CC=CC=C21
136071,C1=CC=C2C(=C1)OC=CO2
136163,C1=CSC=CC2=CSC=C21
136345,C1=CC(C(C(C1O)O)O)O
136477,CC(=CN1CCCCC1)C
136606,C1CC2C3C2C=CC1C=C3
136668,CCC(=C(CC)CC)CC
136680,CC1(CC(=CC(=O)C1)N)C
136796,C1=CC2C3C2C=CC1C=C3
136797,CC1=CC(=CC(=O)C)SS1
136900,C1CC=CCCCC=CC1
136931,C=C1CCC2=CC=CC=C12
137048,C=CC=CC1=CC=CC=C1
137423,CC1=CC2=S(S1)SC(=C2)C
137508,CC1(C=CC(C=C1)(C)C)C
137524,C=CC(=C)C1=CC=CC=C1
137545,CC=C=CC1=CC=CC=C1
137614,CC=C(C)CCC=C(C)C
137681,C1CCC(C1)C2CCC=C2
137722,CCCCCCC=CC#C
137784,CCCCCCCC(=C)C
137792,C1CC2C=CC1CC2C#N
137878,CCCCC1=CCCCC1
137906,C1CC(=C1)C2=CC=CC=C2
137926,CC(C)(C)C1=CCCCC1
137940,C1CC=C=CCCC=C=C1
137950,C1CC23CC2(C1)C=CC=C3
137957,CC1(CC(=CC(=O)C1)O)C
138091,CC(C)CC1=CCCCC1
138093,CCCCC1CCCC=C1
138179,CCCCCC1=CCCC1
138196,C=CC(C1CCCCC1)O
138270,CCCC(=CCC)CCC
138376,C1CCC(C1)C2=CCCC2
138403,C1CC(C=C1)C2CCC=C2
138433,CC(=C)C#CC#CC(=C)C
138457,C1CCC(=CC1)C[N+](=O)[O-]
138538,C1=CC2C3C4C1C5C2C3C45
138602,CC(=CC(=O)CC(=C)C)C
138613,CC(C)(C)C(=C)C(C)(C)C
138648,C1=CC2C=CC3C2C1C=C3
138779,C=C1C=C2C=CC=CC2=C1
138806,C1C=C2C3CC(C2=C1)C=C3
138807,C1CC2CC1C3=CCC=C23
138916,CC(=C1CCCCCC1)C
138920,C1CC2(CC=C1)OCCO2
138933,C1CCC2=C(CC1)CCC2
138955,CCC=CN1CCCCC1
138996,C1CCC(=CC1)N2CCC2
139081,C1CC2CCC1C=CC2=O
139137,CCC(C)OC(=O)C=CC
139374,CSC(=C(SC)SC)SC
139402,C(#N)C(=C1SC(=O)S1)C#N
139574,CCC(=CC)N1CCCC1
139658,CC1=C(CN(N(C1)C)C)C
139677,CC(C)(C)C1CCCC=C1
139719,CN1C2CCC(N1C)C=C2
139833,CC1C(=C=C(C)C)C1(C)C
139871,CC(=C1C2CCC1C=C2)C
139917,CCC(C)C1CCCC=C1
139935,CC=CSC1=CC=CC=C1
139952,CC(=S)C1CCCC=C1O
140110,CC1=CC(=C)CC(C1)(C)C
140142,COC1(CCC=CC1)OC
140174,C1CC23CC=CCC2(C1)C3
140483,CCCCCCC=CCC
140529,CC=CCCCCC=CC
140537,CC1(CCC1(C)C=C)C=C
140563,C1CC=C2NCCCN2C1
140587,CC=C1CCCCCCC1
140588,CCCCC(CC)C(=C)C
140589,CCCCC(=C(C)C)CC
140599,CCCCCC(=C(C)C)C
140632,CC(C)(C)C1=CCC(=O)O1
140655,C1C=CC1C2=CC=CC=C2
140769,C1=CC=C2C3C=CC3C2=C1
140810,C=CC1CC2CCC1C=C2
140845,CCCCC1CCC=CC1
140872,C=CCN1C=CC=CC1=O
140923,CC(=C=C)C1=CC=CC=C1
141033,CC1=CC(=O)C(CC1)(C)C
141140,C1CSC(=C2SCCS2)S1
141215,COC12CCC(CC1)C=C2
141346,C1C2C1C3C=CC2C4C3C4
141372,CC(=C(C1CC1)C2CC2)C
141413,CC1=CCCC(O1)C(=O)C
141420,CC(C)OC1=CCC=CC1
141427,CC(C)C(C)(C(C)C=C)O
141505,CC(=C)CC(CC(=C)C)O
141510,C=C1CC1C2=CC=CC=C2
141539,CC1=CSS2=C1C(=CS2)C
141558,C1CC12C=CC=CC23CC3
141559,C1C2C=CC1C3C2C4C3C4
141654,C1CC2C=CC3C2C1C=C3
141765,CC(=C(C)CC(C)(C)C)C
141895,C1=CC2C3C=CC4C1C2C43
141918,C1=CC2C=CC(C2=O)C=C1
141975,CCCCCC(CC=C)O
142035,CSC=CC1=CC=CC=C1
142062,C1CCC2=C(C1)CC=CC2
142064,C1CC12C=CC3(CC3)C=C2
142080,C=C1C2CCC(C1=C)CC2
142085,CC(=C1C2C=CC1C=C2)C
142092,C=C1C2CCC(C1=C)C=C2
142099,CCCC=NNCC=CC
142130,CCCCCC=C=CCC
142136,C=CC1(CC2CC1C=C2)O
142185,CCCCCC1CCC=C1
142186,CC(C)CCC1=CCCC1
142187,CC(C)CCC1CCC=C1
142191,C1CCC23CCC2(C1)C=C3
142192,C1CCC23C=CC2(C1)C=C3
142302,C=C1C2CCC(C1=C)C2=O
142329,C=C1C2C=CC=CC1C=C2
142467,CCCOC(=O)C=C(C)S
142503,C=C1C2CCCCC1CC2
142539,CC1=CC(C(=C1C)C)(C)C
142616,C1=CC2=S=CC(=O)N2C=C1
142640,C1CCC2C=CC(C1)C2=O
142873,C=C1C2C=CC(C1=C)C=C2
142892,CC=CC(=O)N1CCCC1
142913,C1CCC2C=CC(C1)OO2
